"Weekley, Boo",1,281,"591",FALSE
"Mahan, Hunter",1,279,"592",FALSE
"Spieth, Jordan",1,278,"593",TRUE
"Jimenez, Miguel Angel",1,275,"594",FALSE
"Watney, Nick",1,281,"595",FALSE
"Day, Jason",1,275,"596",FALSE
"Schwartzel, Charl",1,280,"597",FALSE
"Points, D.A.",1,281,"598",FALSE
"Leishman, Marc",1,283,"599",TRUE
"Walker, Jimmy",1,282,"600",FALSE
"McDowell, Graeme",1,283,"601",TRUE
"Westwood, Lee",1,284,"602",FALSE
"Bjorn, Thomas",1,278,"603",FALSE
"Snedeker, Brandt",1,282,"604",FALSE
"DeLaet, Graham",1,275,"605",FALSE
"de Jonge, Brendon",1,278,"606",FALSE
"McIlroy, Rory",1,282,"607",TRUE
"Watney, Nick",1,282,"608",TRUE
"Kuchar, Matt",1,281,"609",FALSE
"Spieth, Jordan",1,275,"610",FALSE
"Mickelson, Phil",1,281,"611",FALSE
"McIlroy, Rory",1,275,"612",FALSE
"Huh, John",1,282,"613",TRUE
"Spieth, Jordan",1,281,"614",FALSE
"Stadler, Kevin",1,280,"615",FALSE
"Rose, Justin",1,278,"616",FALSE
"Spieth, Jordan",1,280,"617",FALSE
"Kuchar, Matt",1,281,"618",FALSE
"Stenson, Henrik",1,281,"619",FALSE
"Watney, Nick",1,281,"620",FALSE
"Every, Matt",1,283,"621",FALSE
"Fowler, Rickie",1,277,"622",FALSE
"Matsuyama, Hideki",1,277,"623",FALSE
"Day, Jason",1,285,"624",TRUE
"Clark, Tim",1,282,"625",FALSE
"Watney, Nick",1,283,"626",TRUE
