"","name","rank","friday","sunday","simulationID"
"20175","Jaidee, Thongchai",43,146,290,"5006"
"20895","Johnson, Dustin",16,143,283,"5006"
"21615","Johnson, Zach",56,144,297,"5006"
"22335","Kaufman, Smylie",33,143,287,"5006"
"23055","Kaymer, Martin",54,146,295,"5006"
"23775","Kirk, Chris",5,136,278,"5006"
"24495","Kisner, Kevin",23,139,285,"5006"
"25215","Kjeldsen, Soren",9,137,280,"5006"
"25935","Knox, Russell",67,149,NA,"5006"
"26655","Koepka, Brooks",57,147,NA,"5006"
"27375","Kuchar, Matt",5,139,278,"5006"
"28095","Lahiri, Anirban",57,147,NA,"5006"
"28815","Langer, Bernhard",63,148,NA,"5006"
"29535","Lee, Danny",63,148,NA,"5006"
"30255","Leishman, Marc",73,152,NA,"5006"
"30975","Lingmerth, David",73,152,NA,"5006"
"31695","Love III, Davis",73,152,NA,"5006"
"32415","Lowry, Shane",20,141,284,"5006"
"33135","Mahan, Hunter",40,146,289,"5006"
"33855","Matsuyama, Hideki",2,139,276,"5006"
"34575","McDowell, Graeme",57,147,NA,"5006"
"35295","McIlroy, Rory",1,134,274,"5006"
"36015","Merritt, Troy",11,139,281,"5006"
"36735","Mickelson, Phil",33,143,287,"5006"
"37455","Moore, Ryan",43,143,290,"5006"
"38175","Na, Kevin",11,142,281,"5006"
"38895","Oosthuizen, Louis",40,145,289,"5006"
"39615","Piercy, Scott",57,147,NA,"5006"
"40335","Poulter, Ian",50,145,292,"5006"
"41055","Reed, Patrick",23,138,285,"5006"
"41775","Rose, Justin",26,144,286,"5006"
"42495","Schwartzel, Charl",16,140,283,"5006"
"43215","Scott, Adam",20,143,284,"5006"
"43935","Simpson, Webb",11,141,281,"5006"
"44655","Singh, Vijay",47,143,291,"5006"
"45375","Smith, Cameron",43,144,290,"5006"
"46095","Snedeker, Brandt",4,140,277,"5006"
"46815","Spieth, Jordan",23,146,285,"5006"
"47535","Stenson, Henrik",20,144,284,"5006"
"48255","Streb, Robert",50,143,292,"5006"
"48975","Streelman, Kevin",9,143,280,"5006"
"49695","Sullivan, Andy",16,137,283,"5006"
"50415","Taylor, Vaughn",53,146,293,"5006"
"51135","Thomas, Justin",26,144,286,"5006"
"51855","Walker, Jimmy",11,139,281,"5006"
"52575","Watson, Bubba",57,147,NA,"5006"
"53295","Weir, Mike",79,155,NA,"5006"
"54015","Westwood, Lee",47,145,291,"5006"
"54735","Wiesberger, Bernd",70,150,NA,"5006"
"55455","Willett, Danny",36,146,288,"5006"
"56175","Wood, Chris",26,145,286,"5006"
"16","An, Byeong Hun",7,140,281,"5007"
"736","Aphibarnrat, Kiradech",58,148,NA,"5007"
"1456","Berger, Daniel",20,141,286,"5007"
"2176","Bowditch, Steven",76,152,NA,"5007"
"2896","Bradley, Keegan",47,145,294,"5007"
"3616","Cabrera Bello, Rafa",9,142,282,"5007"
"4336","Cabrera, Angel",42,143,293,"5007"
"5056","Casey, Paul",20,140,286,"5007"
"5776","Clarke, Darren",79,156,NA,"5007"
"6496","Day, Jason",20,143,286,"5007"
"7216","DeChambeau, Bryson",58,148,NA,"5007"
"7936","Donaldson, Jamie",58,148,NA,"5007"
"8656","Dubuisson, Victor",38,144,292,"5007"
"9376","Dufner, Jason",9,141,282,"5007"
"10096","Els, Ernie",58,148,NA,"5007"
"10816","English, Harris",78,154,NA,"5007"
"11536","Fitzpatrick, Matthew",72,151,NA,"5007"
"12256","Fowler, Rickie",4,143,279,"5007"
"12976","Garcia, Sergio",50,145,299,"5007"
"13696","Gomez, Fabian",34,144,289,"5007"
"14416","Grace, Branden",9,143,282,"5007"
