name,modranks,prob,sg.approach,sg.around,sg.tee,sg.putt,sg.total,score,rank,owgr.April,owgr.Feb,actualrank,year,vegasranks
"Casey, Paul",40,0.0053,0.022454545,-0.236772727,0.244636364,0.363227273,0.393545455,157,78,2.68,2.69,74,2005,NA
"Allenby, Robert",41,0.0051,0.489797297,-0.283135135,0.593743243,-0.129540541,0.670864865,150,53.5,2.5,2.49,50,2005,NA
"Ames, Stephen",41,0.0051,0.443691176,-0.048558824,0.132308824,0.221941176,0.749382353,297,44.5,3.02,3.26,42,2005,NA
"Flesch, Steve",43,0.005,-0.004788732,0.023394366,-0.253929577,0.265830986,0.030507042,292,29.5,2.37,2.53,28,2005,NA
"Funk, Fred",44,0.0049,0.51245122,-0.012036585,0.0445,0.150829268,0.695743902,150,53.5,3.13,2.01,50,2005,NA
"Hensby, Mark",45,0.0047,-0.255972222,0.051666667,0.168,0.203694444,0.167388889,284,7,2.15,2.26,5,2005,NA
"Maruyama, Shigeki",46,0.0044,0.479319444,0.217138889,-0.226722222,0.633305556,1.103041667,158,79,3.11,3.14,75,2005,NA
"Lonard, Peter",47,0.0042,0.3546,-0.159933333,0.3087,-0.555566667,-0.0522,152,64.5,2.42,2.83,58,2005,NA
"Haas, Jay",48,0.0041,0.813457627,0.367457627,-0.266813559,0.041271186,0.955372881,301,56,2.59,2.72,54,2005,NA
"Triplett, Kirk",48,0.0041,-0.06640678,0.22079661,0.220389831,0.111067797,0.485847458,288,18,1.89,1.85,16,2005,NA
"O'Hern, Nick",50,0.004,0.633666667,0.175333333,0.023666667,-0.283666667,0.549,297,44.5,2.78,2.73,42,2005,NA
"Daly, John",51,0.0037,0.142566667,-0.0674,0.269683333,-0.165266667,0.179583333,154,75.5,2.21,2.39,71,2005,NA
"Price, Nick",51,0.0037,0.172277778,0.099777778,-0.119333333,0.38,0.532722222,154,75.5,1.7,1.96,71,2005,NA
"Van Pelt, Bo",51,0.0037,0.035105263,-0.088394737,0.467605263,0.227947368,0.642263158,151,58,1.09,1.19,55,2005,NA
"Franco, Carlos",54,0.0036,0.38708642,0.210320988,-0.040790123,-0.231024691,0.325592593,149,48.5,1.52,1.57,44,2005,NA
"Olazabal, Jose Maria",54,0.0036,0.587225,0.369725,-0.4244,0.660925,1.193475,153,72,1.67,1.1,67,2005,NA
"Purdy, Ted",56,0.0033,0.289567308,-0.006778846,0.463913462,-0.096451923,0.65025,155,77,0.99,0.96,73,2005,NA
"Poulter, Ian",57,0.0032,-0.382555556,-0.280388889,0.221777778,-0.508277778,-0.949444444,294,35,2.54,2.5,32,2005,NA
