name,year,hole,yardage,round,par,score,rtp_score,sg_total,no_masters,rtp_score_grouped,time,no_masters_category,Level,Mu,Mu (no blups),P
"An, Byeong Hun",2016,9,460,3,4,.,.,0.212,2,.,12,1,2,0.02105,0.02057,0.02105
"An, Byeong Hun",2016,9,460,3,4,.,.,0.212,2,.,12,1,1,0.20224,0.19845,0.20224
"An, Byeong Hun",2016,9,460,3,4,.,.,0.212,2,.,12,1,0,0.85831,0.85541,0.85831
"An, Byeong Hun",2016,9,460,3,4,.,.,0.212,2,.,12,1,-1,0.99625,0.99616,0.99625
"An, Byeong Hun",2016,10,495,3,4,.,.,0.212,2,.,12,1,3,0.00375,0.00366,0.00375
"An, Byeong Hun",2016,10,495,3,4,.,.,0.212,2,.,12,1,2,0.02958,0.02891,0.02958
"An, Byeong Hun",2016,10,495,3,4,.,.,0.212,2,.,12,1,1,0.26433,0.25977,0.26433
"An, Byeong Hun",2016,10,495,3,4,.,.,0.212,2,.,12,1,0,0.89568,0.89345,0.89568
"An, Byeong Hun",2016,10,495,3,4,.,.,0.212,2,.,12,1,-1,0.99735,0.99729,0.99735
"An, Byeong Hun",2016,11,505,3,4,.,.,0.212,2,.,12,1,3,0.00328,0.0032,0.00328
"An, Byeong Hun",2016,11,505,3,4,.,.,0.212,2,.,12,1,2,0.02594,0.02535,0.02594
"An, Byeong Hun",2016,11,505,3,4,.,.,0.212,2,.,12,1,1,0.23894,0.23467,0.23894
"An, Byeong Hun",2016,11,505,3,4,.,.,0.212,2,.,12,1,0,0.88238,0.87991,0.88238
"An, Byeong Hun",2016,11,505,3,4,.,.,0.212,2,.,12,1,-1,0.99697,0.9969,0.99697
"An, Byeong Hun",2016,12,155,3,3,.,.,0.212,2,.,12,1,3,0.00206,0.00201,0.00206
"An, Byeong Hun",2016,12,155,3,3,.,.,0.212,2,.,12,1,2,0.01644,0.01606,0.01644
"An, Byeong Hun",2016,12,155,3,3,.,.,0.212,2,.,12,1,1,0.16461,0.16138,0.16461
"An, Byeong Hun",2016,12,155,3,3,.,.,0.212,2,.,12,1,0,0.82482,0.82138,0.82482
"An, Byeong Hun",2016,12,155,3,3,.,.,0.212,2,.,12,1,-1,0.99518,0.99507,0.99518
"An, Byeong Hun",2016,13,510,3,5,.,.,0.212,2,.,12,1,3,0.00035,0.00034,0.00035
"An, Byeong Hun",2016,13,510,3,5,.,.,0.212,2,.,12,1,2,0.00284,0.00278,0.00284
"An, Byeong Hun",2016,13,510,3,5,.,.,0.212,2,.,12,1,1,0.03252,0.03179,0.03252
"An, Byeong Hun",2016,13,510,3,5,.,.,0.212,2,.,12,1,0,0.44547,0.43964,0.44547
"An, Byeong Hun",2016,13,510,3,5,.,.,0.212,2,.,12,1,-1,0.9724,0.97176,0.9724
"An, Byeong Hun",2016,14,440,3,4,.,.,0.212,2,.,12,1,3,0.00293,0.00286,0.00293
"An, Byeong Hun",2016,14,440,3,4,.,.,0.212,2,.,12,1,2,0.02325,0.02272,0.02325
