name,year,hole,yardage,round,par,score,rtp_score,fairway,green,bunker,sand_save,scrambling,putts,par3,par4,par5,sg_approach,sg_around,sg_tee,sg_putt,sg_total,total_score,no_holes,avg_round_score,rank,no_masters,OWGR_april,OWGR_feb,rtp_score_grouped,time,round_hole,round_hole_time,round_year,no_masters_category,performance_by_par,OWGR_change,Level,P(w/ player effects),P(w/o player effects)
"An, Byeong Hun",2016,14,440,1,4,5,1,1,0,0,0,0,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,14,182,2016,1,4.09,-0.1134,-1,0.99578,0.99578
"An, Byeong Hun",2016,15,530,1,5,6,1,1,0,0,0,0,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,15,195,2016,1,4.73,-0.1134,2,0.00533,0.00533
"An, Byeong Hun",2016,15,530,1,5,6,1,1,0,0,0,0,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,15,195,2016,1,4.73,-0.1134,1,0.05749,0.05749
"An, Byeong Hun",2016,15,530,1,5,6,1,1,0,0,0,0,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,15,195,2016,1,4.73,-0.1134,0,0.57113,0.57113
"An, Byeong Hun",2016,15,530,1,5,6,1,1,0,0,0,0,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,15,195,2016,1,4.73,-0.1134,-1,0.98227,0.98227
"An, Byeong Hun",2016,16,170,1,3,2,-1,0,1,0,0,-1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,16,208,2016,1,3.03,-0.1134,2,0.01931,0.01931
"An, Byeong Hun",2016,16,170,1,3,2,-1,0,1,0,0,-1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,16,208,2016,1,3.03,-0.1134,1,0.18304,0.18304
"An, Byeong Hun",2016,16,170,1,3,2,-1,0,1,0,0,-1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,16,208,2016,1,3.03,-0.1134,0,0.83026,0.83026
"An, Byeong Hun",2016,16,170,1,3,2,-1,0,1,0,0,-1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,16,208,2016,1,3.03,-0.1134,-1,0.99511,0.99511
"An, Byeong Hun",2016,17,440,1,4,5,1,1,1,0,0,-1,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,17,221,2016,1,4.09,-0.1134,2,0.02638,0.02638
"An, Byeong Hun",2016,17,440,1,4,5,1,1,1,0,0,-1,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,17,221,2016,1,4.09,-0.1134,1,0.23567,0.23567
"An, Byeong Hun",2016,17,440,1,4,5,1,1,1,0,0,-1,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,17,221,2016,1,4.09,-0.1134,0,0.87066,0.87066
"An, Byeong Hun",2016,17,440,1,4,5,1,1,1,0,0,-1,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,17,221,2016,1,4.09,-0.1134,-1,0.99644,0.99644
"An, Byeong Hun",2016,18,465,1,4,4,0,1,0,0,0,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,18,234,2016,1,4.09,-0.1134,2,0.02938,0.02938
"An, Byeong Hun",2016,18,465,1,4,4,0,1,0,0,0,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,18,234,2016,1,4.09,-0.1134,1,0.25622,0.25622
"An, Byeong Hun",2016,18,465,1,4,4,0,1,0,0,0,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,18,234,2016,1,4.09,-0.1134,0,0.88264,0.88264
