name,modranks,prob,run
"Lowry, Shane",21,0.0098,8
"Matsuyama, Hideki",5,0.0429,8
"McGirt, William",57,0.0017,8
"McIlroy, Rory",2,0.1239,8
"Mickelson, Phil",14,0.0139,8
"Molinari, Francesco",24,0.009,8
"Moore, Ryan",43,0.0038,8
"Na, Kevin",57,0.0017,8
"Noren, Alex",56,0.0019,8
"O'Hair, Sean",49,0.0029,8
"Oosthuizen, Louis",19,0.0101,8
"Pampling, Rod",70,6.00E-04,8
"Perez, Pat",52,0.0027,8
"Piercy, Scott",34,0.0047,8
"Pieters, Thomas",36,0.0044,8
"Rahm, Jon",8,0.0316,8
"Reed, Patrick",39,0.0042,8
"Rose, Justin",6,0.0371,8
"Schwartzel, Charl",40,0.0041,8
"Scott, Adam",20,0.0099,8
"Simpson, Webb",64,0.0014,8
"Singh, Vijay",78,2.00E-04,8
"Snedeker, Brandt",25,0.0088,8
"Spieth, Jordan",3,0.053,8
"Steele, Brendan",32,0.0061,8
"Stenson, Henrik",25,0.0088,8
"Stricker, Steve",62,0.0016,8
"Stuard, Brian",76,4.00E-04,8
"Sullivan, Andy",40,0.0041,8
"Summerhays, Daniel",65,0.0013,8
"Swafford, Hudson",43,0.0038,8
"Tanihara, Hideto",57,0.0017,8
"Thomas, Justin",12,0.0204,8
"Vegas, Jhonattan",49,0.0029,8
"Walker, Jimmy",51,0.0028,8
"Wang, Jeunghun",77,3.00E-04,8
"Watson, Bubba",42,0.0039,8
"Westwood, Lee",57,0.0017,8
"Wiesberger, Bernd",36,0.0044,8
"Willett, Danny",74,5.00E-04,8
"Wood, Chris",62,0.0016,8
"Woodland, Gary",17,0.0111,8
"An, Byeong Hun",41,0.0043,9
"Berger, Daniel",33,0.0061,9
"Cabrera, Angel",36,0.0053,9
"Cabrera-Bello, Rafael",65,0.0014,9
"Casey, Paul",17,0.0103,9
"Castro, Roberto",68,0.0012,9
"Chappell, Kevin",77,4.00E-04,9
"Day, Jason",12,0.0222,9
"Dufner, Jason",40,0.0045,9
"Els, Ernie",78,2.00E-04,9
"Fisher, Ross",10,0.0231,9
"Fitzpatrick, Matthew",36,0.0053,9
"Fleetwood, Tommy",9,0.0233,9
"Fowler, Rickie",4,0.0468,9
"Furyk, Jim",56,0.0019,9
"Garcia, Sergio",13,0.0188,9
"Grace, Branden",59,0.0017,9
"Grillo, Emiliano",49,0.0032,9
"Haas, Bill",21,0.0096,9
"Hadwin, Adam",31,0.0064,9
"Hahn, James",60,0.0015,9
"Hatton, Tyrrell",8,0.0282,9
"Henley, Russell",16,0.0111,9
"Hoffman, Charley",28,0.0071,9
"Holmes, J.B.",24,0.0085,9
"Hughes, Mackenzie",70,0.001,9
"Hurley III, Billy",74,7.00E-04,9
"Ikeda, Yuta",71,9.00E-04,9
"Johnson, Dustin",1,0.2389,9
"Johnson, Zach",51,0.003,9
"Kaymer, Martin",32,0.0062,9
"Kim, Si Woo",80,0.00E+00,9
"Kisner, Kevin",23,0.0087,9
"Kjeldsen, Soren",56,0.0019,9
"Knox, Russell",68,0.0012,9
"Koepka, Brooks",50,0.0031,9
"Kuchar, Matt",30,0.0065,9
"Leishman, Marc",14,0.015,9
"Lowry, Shane",19,0.0102,9
"Matsuyama, Hideki",5,0.04,9
"McGirt, William",53,0.0021,9
"McIlroy, Rory",2,0.121,9
"Mickelson, Phil",15,0.0141,9
"Molinari, Francesco",25,0.0079,9
"Moore, Ryan",33,0.0061,9
"Na, Kevin",55,0.002,9
"Noren, Alex",73,8.00E-04,9
"O'Hair, Sean",43,0.004,9
"Oosthuizen, Louis",25,0.0079,9
"Pampling, Rod",58,0.0018,9
"Perez, Pat",60,0.0015,9
"Piercy, Scott",44,0.0038,9
"Pieters, Thomas",42,0.0041,9
"Rahm, Jon",7,0.0304,9
"Reed, Patrick",29,0.0066,9
"Rose, Justin",6,0.037,9
"Schwartzel, Charl",46,0.0037,9
"Scott, Adam",20,0.0099,9
"Simpson, Webb",52,0.0024,9
"Singh, Vijay",79,1.00E-04,9
"Snedeker, Brandt",22,0.009,9
