name,year,hole,yardage,round,par,score,rtp_score,sg_total,no_masters,Level,Mu,Mu.no.bulps,P
"An, Byeong Hun",2016,16,170,2,3,3,0,0.212,2,-1,0.99624,0.99608,0.99624
"An, Byeong Hun",2016,17,440,2,4,4,0,0.212,2,3,0.00351,0.00337,0.00351
"An, Byeong Hun",2016,17,440,2,4,4,0,0.212,2,2,0.02745,0.02636,0.02745
"An, Byeong Hun",2016,17,440,2,4,4,0,0.212,2,1,0.24418,0.23661,0.24418
"An, Byeong Hun",2016,17,440,2,4,4,0,0.212,2,0,0.87682,0.87226,0.87682
"An, Byeong Hun",2016,17,440,2,4,4,0,0.212,2,-1,0.99667,0.99653,0.99667
"An, Byeong Hun",2016,18,465,2,4,5,1,0.212,2,3,0.00242,0.00232,0.00242
"An, Byeong Hun",2016,18,465,2,4,5,1,0.212,2,2,0.01902,0.01826,0.01902
"An, Byeong Hun",2016,18,465,2,4,5,1,0.212,2,1,0.18161,0.17553,0.18161
"An, Byeong Hun",2016,18,465,2,4,5,1,0.212,2,0,0.8302,0.82427,0.8302
"An, Byeong Hun",2016,18,465,2,4,5,1,0.212,2,-1,0.99516,0.99496,0.99516
"An, Byeong Hun",2016,1,445,3,4,.,.,0.212,2,3,0.00704,0.00675,0.00704
"An, Byeong Hun",2016,1,445,3,4,.,.,0.212,2,2,0.0537,0.05163,0.0537
"An, Byeong Hun",2016,1,445,3,4,.,.,0.212,2,1,0.39376,0.3839,0.39376
"An, Byeong Hun",2016,1,445,3,4,.,.,0.212,2,0,0.93469,0.93211,0.93469
"An, Byeong Hun",2016,1,445,3,4,.,.,0.212,2,-1,0.99834,0.99827,0.99834
"An, Byeong Hun",2016,2,575,3,5,.,.,0.212,2,3,0.0008,0.00077,0.0008
"An, Byeong Hun",2016,2,575,3,5,.,.,0.212,2,2,0.0064,0.00614,0.0064
"An, Byeong Hun",2016,2,575,3,5,.,.,0.212,2,1,0.06868,0.06607,0.06868
"An, Byeong Hun",2016,2,575,3,5,.,.,0.212,2,0,0.619,0.60917,0.619
"An, Byeong Hun",2016,2,575,3,5,.,.,0.212,2,-1,0.98558,0.98498,0.98558
"An, Byeong Hun",2016,3,350,3,4,.,.,0.212,2,3,0.00105,0.001,0.00105
"An, Byeong Hun",2016,3,350,3,4,.,.,0.212,2,2,0.00832,0.00798,0.00832
"An, Byeong Hun",2016,3,350,3,4,.,.,0.212,2,1,0.0876,0.08434,0.0876
"An, Byeong Hun",2016,3,350,3,4,.,.,0.212,2,0,0.67902,0.66991,0.67902
"An, Byeong Hun",2016,3,350,3,4,.,.,0.212,2,-1,0.98889,0.98842,0.98889
"An, Byeong Hun",2016,4,240,3,3,.,.,0.212,2,3,0.00749,0.00718,0.00749
"An, Byeong Hun",2016,4,240,3,3,.,.,0.212,2,2,0.05696,0.05477,0.05696
"An, Byeong Hun",2016,4,240,3,3,.,.,0.212,2,1,0.40876,0.39877,0.40876
"An, Byeong Hun",2016,4,240,3,3,.,.,0.212,2,0,0.93839,0.93595,0.93839
"An, Byeong Hun",2016,4,240,3,3,.,.,0.212,2,-1,0.99844,0.99838,0.99844
"An, Byeong Hun",2016,5,455,3,4,.,.,0.212,2,3,0.00466,0.00447,0.00466
"An, Byeong Hun",2016,5,455,3,4,.,.,0.212,2,2,0.03613,0.03472,0.03613
"An, Byeong Hun",2016,5,455,3,4,.,.,0.212,2,1,0.30026,0.29161,0.30026
"An, Byeong Hun",2016,5,455,3,4,.,.,0.212,2,0,0.90434,0.90069,0.90434
"An, Byeong Hun",2016,5,455,3,4,.,.,0.212,2,-1,0.99749,0.99739,0.99749
"An, Byeong Hun",2016,6,180,3,3,.,.,0.212,2,3,0.00255,0.00244,0.00255
"An, Byeong Hun",2016,6,180,3,3,.,.,0.212,2,2,0.02002,0.01923,0.02002
"An, Byeong Hun",2016,6,180,3,3,.,.,0.212,2,1,0.18955,0.18325,0.18955
"An, Byeong Hun",2016,6,180,3,3,.,.,0.212,2,0,0.83747,0.83175,0.83747
"An, Byeong Hun",2016,6,180,3,3,.,.,0.212,2,-1,0.99541,0.99521,0.99541
"An, Byeong Hun",2016,7,450,3,4,.,.,0.212,2,3,0.00861,0.00826,0.00861
"An, Byeong Hun",2016,7,450,3,4,.,.,0.212,2,2,0.065,0.06252,0.065
"An, Byeong Hun",2016,7,450,3,4,.,.,0.212,2,1,0.4431,0.43289,0.4431
"An, Byeong Hun",2016,7,450,3,4,.,.,0.212,2,0,0.94603,0.94388,0.94603
"An, Byeong Hun",2016,7,450,3,4,.,.,0.212,2,-1,0.99865,0.99859,0.99865
"An, Byeong Hun",2016,8,570,3,5,.,.,0.212,2,3,0.00085,0.00082,0.00085
"An, Byeong Hun",2016,8,570,3,5,.,.,0.212,2,2,0.0068,0.00653,0.0068
"An, Byeong Hun",2016,8,570,3,5,.,.,0.212,2,1,0.0727,0.06995,0.0727
"An, Byeong Hun",2016,8,570,3,5,.,.,0.212,2,0,0.63335,0.62366,0.63335
"An, Byeong Hun",2016,8,570,3,5,.,.,0.212,2,-1,0.98642,0.98586,0.98642
"An, Byeong Hun",2016,9,460,3,4,.,.,0.212,2,3,0.00247,0.00237,0.00247
"An, Byeong Hun",2016,9,460,3,4,.,.,0.212,2,2,0.01941,0.01864,0.01941
"An, Byeong Hun",2016,9,460,3,4,.,.,0.212,2,1,0.18475,0.17858,0.18475
"An, Byeong Hun",2016,9,460,3,4,.,.,0.212,2,0,0.83314,0.82729,0.83314
"An, Byeong Hun",2016,9,460,3,4,.,.,0.212,2,-1,0.99526,0.99506,0.99526
"An, Byeong Hun",2016,10,495,3,4,.,.,0.212,2,3,0.00401,0.00385,0.00401
"An, Byeong Hun",2016,10,495,3,4,.,.,0.212,2,2,0.03124,0.03001,0.03124
"An, Byeong Hun",2016,10,495,3,4,.,.,0.212,2,1,0.26959,0.26149,0.26959
"An, Byeong Hun",2016,10,495,3,4,.,.,0.212,2,0,0.89049,0.88638,0.89049
"An, Byeong Hun",2016,10,495,3,4,.,.,0.212,2,-1,0.99708,0.99696,0.99708
"An, Byeong Hun",2016,11,505,3,4,.,.,0.212,2,3,0.0053,0.00509,0.0053
"An, Byeong Hun",2016,11,505,3,4,.,.,0.212,2,2,0.04092,0.03932,0.04092
"An, Byeong Hun",2016,11,505,3,4,.,.,0.212,2,1,0.32812,0.31904,0.32812
"An, Byeong Hun",2016,11,505,3,4,.,.,0.212,2,0,0.91496,0.91168,0.91496
"An, Byeong Hun",2016,11,505,3,4,.,.,0.212,2,-1,0.9978,0.9977,0.9978
"An, Byeong Hun",2016,12,155,3,3,.,.,0.212,2,3,0.0025,0.0024,0.0025
"An, Byeong Hun",2016,12,155,3,3,.,.,0.212,2,2,0.01967,0.01888,0.01967
"An, Byeong Hun",2016,12,155,3,3,.,.,0.212,2,1,0.18674,0.18052,0.18674
"An, Byeong Hun",2016,12,155,3,3,.,.,0.212,2,0,0.83496,0.82916,0.83496
"An, Byeong Hun",2016,12,155,3,3,.,.,0.212,2,-1,0.99532,0.99513,0.99532
